"","reads.in","reads.out"
"SRR13200563_1.fastq",63702,53356
"SRR13200564_1.fastq",32943,29431
"SRR13200565_1.fastq",67698,56023
"SRR13200568_1.fastq",32403,29459
"SRR13200569_1.fastq",51640,47386
"SRR13200570_1.fastq",59350,52611
"SRR13200573_1.fastq",69460,62799
"SRR13200574_1.fastq",67648,60520
"SRR13200578_1.fastq",45451,40678
"SRR13200580_1.fastq",46487,41879
